Step,Accuracy
0,0.1083
100,0.3712
200,0.4192
300,0.4856
400,0.4929
500,0.5242
600,0.5319
700,0.5214
800,0.5632
900,0.5543
1000,0.5733
1100,0.5959
1200,0.5903
1300,0.6054
1400,0.6072
1500,0.6237
1600,0.6181
1700,0.6114
1800,0.6392
1900,0.634
2000,0.6268
2100,0.6357
2200,0.6482
2300,0.6424
2400,0.6465
2500,0.6375
2600,0.6536
2700,0.6613
2800,0.6482
2900,0.6701
3000,0.6411
3100,0.6607
3200,0.6577
3300,0.6546
3400,0.6673
3500,0.6307
3600,0.6452
3700,0.6629
3800,0.6651
3900,0.6735
4000,0.6495
4100,0.6527
4200,0.6782
4300,0.666
4400,0.6782
4500,0.6825
4600,0.6439
4700,0.6558
4800,0.6603
4900,0.6645
